0 ['READY', 'READY', 'IDLE', 'IDLE']
1 ['READY', 'READY', 'IDLE', 'IDLE']
2 ['READY', 'READY', 'IDLE', 'IDLE']
3 ['READY', 'READY', 'IDLE', 'IDLE']
4 ['READY', 'READY', 'IDLE', 'IDLE']
5 ['READY', 'READY', 'IDLE', 'IDLE']
6 ['READY', 'READY', 'IDLE', 'IDLE']
7 ['READY', 'READY', 'IDLE', 'IDLE']
8 ['READY', 'READY', 'IDLE', 'IDLE']
9 ['READY', 'READY', 'IDLE', 'IDLE']
10 ['READY', 'READY', 'IDLE', 'IDLE']
11 ['READY', 'READY', 'IDLE', 'IDLE']
12 ['READY', 'READY', 'IDLE', 'IDLE']
13 ['READY', 'READY', 'IDLE', 'IDLE']
14 ['READY', 'READY', 'IDLE', 'IDLE']
15 ['READY', 'READY', 'IDLE', 'IDLE']
16 ['READY', 'READY', 'IDLE', 'IDLE']
17 ['READY', 'READY', 'IDLE', 'IDLE']
18 ['READY', 'READY', 'IDLE', 'IDLE']
19 ['READY', 'READY', 'IDLE', 'IDLE']
[]
